bno,bname,bphone,baddress,bdigital
1,가야동지점,051-892-3651,부산광역시 부산진구 가야대로 610(가야동),N
2,감만동영업소,051-642-5421,"부산 남구 우암로 124홈플러스 감만점 1층 (홈플러스 감만점 의무 휴업일로 은행휴무일 매월 두번째,네번째 월요일 휴무)",N
3,감전동금융센터,051-312-5301,부산광역시 사상구 새벽로 160(감전동),N
4,감천동지점,051-204-1011,부산광역시 사하구 옥천로 6(감천동),N
5,감천중앙지점,051-293-8377,부산광역시 사하구 감천로 52(감천동),N
6,강남금융센터,02-598-6191,서울특별시 서초구 강남대로 279(서초동),N
7,강서산단지점,051-971-4848,"부산 강서구 미음산단로127번길 21(구랑동, BNK금융그룹IT센터)",N
8,개금동지점,051-891-4001,부산광역시 부산진구 가야대로 494(개금동),N
9,개금사랑영업소,051-891-7007,부산광역시 부산진구 복지로 49(개금동) *점심시간 동시사용 (12:00~13:00),Y
10,거제고현지점,055-635-9100,경남 거제시 거제중앙로29길 15(고현동),N
11,거제동지점,051-863-0122,부산광역시 연제구 거제대로 166(거제동),Y
12,검찰청영업소,051-502-1567,부산광역시 연제구 법원로 15(거제동),N
13,경성대학교영업소,051-625-1628,부산광역시 남구 수영로 309(대연동) *점심시간 동시사용 (12:00~13:00),Y
14,광남지점,051-625-2201,부산광역시 수영구 광남로 33(남천동),N
15,광안동,051-752-4161,부산 수영구 수영로618번길 4(성우이린타워 2층 [1층자동화코너/2층 영업점]),N
16,괘법동영업소,051-313-0223,부산광역시 사상구 운산로 28(괘법동),N
17,괴정동지점,051-206-7571,부산광역시 사하구 낙동대로 225(괴정동),Y
18,교대역영업소,051-506-1661,부산광역시 연제구 중앙대로 1217(거제동) * 점심시간 동시사용 (12:00~13:00),N
19,구남지점,051-335-9393,"부산광역시 북구 백양대로 1025(구포동, 협진태양프라자)",N
20,구로디지털지점,02-2082-2540,구로이마트 옆건물 서울 구로구 디지털로 300 지밸리비즈플라자 6층(구로동),Y
21,구서동금융센터,051-514-2103,부산광역시 금정구 구서로 23(구서동),N
22,구포3동지점,051-332-5201,부산 북구 시랑로79번길 20- 5(구포 동성가든타워 상가 1층),N
23,구포지점,051-332-4201,부산 북구 백양대로 1200(덕천동),Y
24,국제여객터미널영업소,051-462-7706,부산광역시 동구 충장대로 206(초량동.국제여객터미널 2충) *점심시간 동시사용 (11:30~12:30),N
25,금곡동영업소,051-362-2151,부산광역시 북구 금곡대로 616번길 55*공동점포(KB국민은행),N
26,금사공단지점,051-531-8311,부산광역시 금정구 서동로 173(서동),N
27,금정구청영업소,051-518-4046,부산광역시 금정구 중앙대로 1777(부곡동) *점심시간 동시사용 (12:00~13:00),N
28,기장지점,051-722-6085,부산 기장군 기장읍 읍내로 98(동부리),N
29,기찰지점,051-581-0854,부산광역시 금정구 수림로 15(부곡동),N
30,김해공항지점,051-971-2643,"부산 강서구 공항진입로 108국제선 1층 4GATE 앞 (대저2동,김해국제공항건물)",N
31,김해금융센터,055-334-1251,경상남도 김해시 가락로 23(부원동 602-9),Y
32,김해주촌공단지점,055-324-8660,경상남도 김해시 주촌면 골든루트로66번길 5,N
33,남구청영업소,051-644-2505,부산광역시 남구 못골로 19(대연동) *점심시간 동시사용 (12:00~13:00),N
34,남산동영업소,051-517-0858,부산광역시 금정구 금강로 644(남산동) *점심시간 동시사용 (12:00~13:00),N
35,남양산지점,055-365-0174,"경남 양산시 양산역로 71(중부동,노바메티칼센터 1층, 2층)",N
36,남천동지점,051-623-8515,부산 수영구 황령대로473번길 15(남천동) 엑슬루타워,N
37,내성영업소,051-504-9985,부산 동래구 충렬대로 118(온천동) * 점심시간 동시사용 (12:00~13:00),N
38,내외동지점,055-324-2610,경남 김해시 내외중앙로 60신한프라자 101호,Y
39,냉정역영업소,051-324-6851,부산광역시 사상구 가야대로 370(주례동) *점심시간 동시사용 (12:00~13:00),N
40,녹산공단금융센터,051-831-0201,부산광역시 강서구 녹산산단232로 38-26(송정동),N
41,녹산중앙지점,051-831-8811,부산광역시 강서구 녹산산단335로 16(송정동),N
42,다대2동영업소,051-266-4893,부산광역시 사하구 다대로 429번길 15(다대동),Y
43,다대포지점,051-263-8267,"부산광역시 사하구 다대로 544, 진요빌딩 104호(다대동)",N
44,당감동지점,051-895-9711,부산광역시 부산진구 당감로 48(당감동),Y
45,당리동지점,051-205-6511,부산광역시 사하구 낙동대로 401-1(당리동),N
46,당평지점,051-895-8432,부산광역시 부산진구 백양관문로 7(개금동),N
47,대구금융센터,053-656-9304,"대구광역시 달서구 달구벌대로 1686, 송림타워(두류동)",N
48,대신동지점,051-248-6501,부산광역시 서구 구덕로 325(서대신동3가),Y
49,대연3동영업소,051-626-8177,부산 남구 황령대로319번가길 158-4*점심시간 동시사용 (12:00~13:00),N
50,대연동금융센터,051-627-3117,부산광역시 남구 수영로 234(대연동),Y
51,대저동지점,051-972-0411,부산광역시 강서구 낙동북로 477(대저1동),N
52,대전금융센터,042-486-9334,"대전 서구 둔산로 64, (둔산동,굿모닝빌딩 101호)",N
53,덕계지점,055-367-0093,경상남도 양산시 덕계로 91(덕계동),N
54,덕포동지점,051-305-0310,부산광역시 사상구 사상로 305(덕포동),N
55,동구청영업소,051-464-3093,부산광역시 동구 구청로 1(수정동) * 점심시간 동시사용 (12:00~13:00),N
56,동김해지점,055-322-9896,"경상남도 김해시 인제로 57,(향원당 빌딩 2층)",N
57,동대신동영업소,051-244-4440,부산광역시 서구 대영로 87(동대신동2가),N
58,동래금융센터,051-558-4937,부산광역시 동래구 명륜로 94번길 54(수안동),N
59,동명대학교영업소,051-626-7960,"부산 남구 신선로 428산학협력관 (용당동,동명대학교) * 점심시간 동시사용 (12:00~13:00)",N
60,동아대학교영업소,051-203-5610,부산광역시 사하구 낙동대로 550번길 37(하단동) * 점심시간 동시사용 (12:00~13:00),N
61,동의과학대학교 영업소,051-852-8661,"부산 부산진구 양지로 54진리관 내 (양정동,동의과학대학) * 점심시간 동시사용 (11:30~12:30)",N
62,두실지점,051-515-6920,부산광역시 금정구 중앙대로 1939(구서동),N
63,마린제니스지점,051-742-3773,부산광역시 해운대구 마린시티2로 33(우동),N
64,마산지점,055-255-0161,경상남도 창원시 마산회원구 봉양로 190(봉암동),N
65,만덕동지점,051-336-8461,부산광역시 북구 덕천로 299(만덕동),N
66,망미동지점,051-754-3000,부산광역시 수영구 과정로 43(망미동),Y
67,메트로자이영업소,051-626-8401,부산 남구 신선로 566(GS하이츠자이 상가 / 용호동),N
68,명륜동지점,051-556-8362,부산광역시 동래구 명륜로 192(명륜동),N
69,명장동지점,051-529-3217,부산광역시 동래구 반송로 325(명장동),N
70,명지국제신도시지점,051-271-8091,"부산 강서구 명지국제8로 251(명지국제타워,명지동)",N
71,명지지점,051-271-3102,부산광역시 강서구 명지오션시티 11로 66(명지동),N
72,모라동지점,051-304-0082,부산광역시 사상구 사상로 448(모라동),N
73,몰운대영업소,051-263-8633,부산광역시 사하구 다대로 702(다대동),N
74,무거동지점,052-225-2436,"울산광역시 남구 무거동 461웰츠타워 114호,115호",Y
75,문현동지점,051-645-9651,부산광역시 남구 수영로 27(문현동),N
76,물금신도시지점,055-365-8303,"경상남도 양산시 물금읍 야리로 45,(이플라자빌딩 101호, 201호)",N
77,미남지점,051-556-4601,"부산 동래구 충렬대로107번길 65, 상가 316동 101호 (온천동,동래래미안아이파크상가)",N
78,민락동지점,051-751-4961,부산 수영구 광안해변로 293,N
79,반송동지점,051-542-1131,부산광역시 해운대구 아랫반송로 21번길 34(반송동),Y
80,반송운봉영업소,051-543-2170,부산광역시 해운대구 신반송로 208(반송동) *점심시간 동시사용 (12:00~13:00),N
81,반여2동영업소,051-784-0035,부산광역시 해운대구 재반로 213(반여동) *점심시간 동시사용 (12:00~13:00),Y
82,반여동지점,051-526-7071,부산광역시 해운대구 선수촌로 21번길 7(반여동),N
83,범내골지점,051-646-8356,부산광역시 부산진구 중앙대로 618(범천동),N
84,범일동지점,051-632-8501,부산 동구 범일로 92(범일동),N
85,범천동영업소,051-634-3951,부산광역시 동구 중앙대로 538(범일동) *점심시간 동시사용 (12:00~13:00),N
86,법원영업소,051-503-2750,부산광역시 연제구 법원로 31(거제동),N
87,법조타운지점,051-504-1826,부산광역시 연제구 법원로 28(거제동),N
88,벡스코영업소,051-744-4161,부산광역시 해운대구 APEC로 55,N
89,본점영업부,051-661-4000,"부산 남구 문현금융로 30, 1층 (문현동,부산은행본점)",N
90,봉래동영업소,051-414-9508,부산광역시 영도구 태종로 139(봉래동3가) *점심시간 동시사용 (12:00~13:00),N
91,부곡동지점,051-515-2281,부산광역시 금정구 부곡로 117(부곡동),Y
92,부산국제금융센터지점,051-647-9613,부산 남구 문현금융로 40(문현동) 부산국제금융센터 901호,N
93,부산서부지원영업소,051-1588-6200,"부산 강서구 명지국제7로 77(명지동,부산서부지원청사 내) *점심시간 동시사용 (12:00~13:00)",N
94,부산서부지청영업소,051-201-0391,부산광역시 강서구 명지국제7로 67종합민원실 내 *점심시간 동시사용 (12:00~13:00),N
95,부산시교육청지점,051-862-9905,부산광역시 부산진구 화지로 12(양정동),N
96,부산시청지점,051-852-0066,부산광역시 연제구 중앙대로 1001(연산동),N
97,부산외국어대학교영업소,051-512-0301,"부산 금정구 금샘로485번길 65(남산동,부산외국어대학교) * 점심시간 동시사용 (12:00~13:00)",Y
98,부산진구청영업소,051-816-3830,부산광역시 부산진구 시민공원로 30(부암동) * 점심시간 동시사용 (12:00~13:00),N
99,부전시장영업소,051-803-5404,부산광역시 부산진구 부전로 166(부전동),N
100,부전역지점,051-816-3451,부산광역시 부산진구 중앙대로 807(부전동),N
101,부천지점,032-329-8536,"경기 부천시 상동로 112,(썬프라자 2층 201호)",N
102,부평동지점,051-241-3561,부산광역시 중구 대청로 56(부평동2가),Y
103,북구청영업소,051-305-3731,부산광역시 북구 낙동대로 1570번길 33(구포동) * 점심시간 동시사용 (12:00~13:00),N
104,사상공단지점,051-328-0650,부산광역시 사상구 낙동대로 901(감전동),Y
105,사상구청영업소,051-312-3505,부산광역시 사상구 학감대로 242(감전동) * 점심시간 동시사용 (12:00~13:00),N
106,사상금융센터,051-314-5011,부산광역시 사상구 사상로 5(주례동),N
107,사직동금융센터,051-502-9005,부산광역시 동래구 아시아드대로 189(사직동),N
108,사직운동장지점,051-501-1161,부산광역시 동래구 사직북로 15(사직동),N
109,사직행복영업소,051-502-9714,부산광역시 동래구 미남로 75(사직동) *점심시간 동시사용 (12:00~13:00),N
110,사하구청영업소,051-205-3590,부산광역시 사하구 낙동대로 398번길 12(당리동) * 점심시간 동시사용 (12:00~13:00),N
111,삼계동지점,055-331-2911,경상남도 김해시 삼계중앙로 37(삼계동),N
112,삼산동지점,052-258-0500,울산광역시 남구 삼산로 262(삼산동),N
113,서구청영업소,051-245-0952,부산광역시 서구 구덕로 120(토성동4가) * 점심시간 동시사용 (12:00~13:00),N
114,서동영업소,051-518-8391,부산광역시 금정구 서동로 75-7(부곡동) *점심시간 동시사용 (12:00~13:00),N
115,서면롯데1번가지점,051-806-2641,부산 부산진구 중앙대로691번길 32(부전동) *점심시간 동시사용 (12:00~13:00),N
116,서부산유통단지지점,051-796-0021,"부산광역시 강서구 유통단지1로 41, 부산티플렉스 본관동 101호(대저2동)",N
117,서울금융센터,02-758-6100,서울 중구 세종대로 55 부영태평빌딩 2층,N
118,선수촌지점,051-527-2885,부산광역시 해운대구 선수촌로 104-10(반여동),N
119,성수동금융센터,02-499-9574,서울 성동구 성수일로12길35(성수동2가) 2층,Y
120,센텀금융센터,051-744-8131,부산광역시 해운대구 센텀중앙로 78(우동),N
121,센텀파크영업소,051-744-6311,"부산광역시 해운대구 센텀중앙로 145(재송동, 더샵센텀파크1차아파트) *점심시간 동시사용 (12:00~13:00)",N
122,송도영업소,051-253-0103,부산광역시 서구 충무대로 35(암남동),N
123,송정영업소,051-701-1407,부산광역시 해운대구 송정중앙로 13(송정동) *점심시간 동시사용 (12:00~13:00),N
124,수안동지점,051-554-4913,부산 동래구 충렬대로 212(수안동),N
125,수영구청영업소,051-628-4294,부산광역시 수영구 남천동로 100(남천동),N
126,수영금융센터,051-752-0166,부산광역시 수영구 수영로 693수영타워 2층,Y
127,수영민락역영업소,051-751-4701,부산광역시 수영구 수영로 741번길 12(수영동),N
128,수원금융센터,031-267-4115,경기 수원시 팔달구 효원로 303삼호파크타워 1층,N
129,수정동지점,051-468-1721,부산광역시 동구 고관로 125(수정동),Y
130,스포원영업소,051-508-8691,부산광역시 금정구 체육공원로 399번길 324(두구동. 스포원2층) *점심시간 동시사용 (11:30~12:30),N
131,시화공단지점,031-431-9367,경기 시흥시 경기과기대로 219(정왕동)길산에스에스티지식산업센터101호102호,N
132,신개금영업소,051-897-2462,"부산 부산진구 백양대로 298(개금동, 신개금엘지아파트상가) * 점심시간 동시사용 (12:00~13:00)",N
133,신덕포영업소,051-305-0391,부산광역시 사상구 덕상로 22(덕포동),N
134,신라대학교영업소,051-999-6941,"부산 사상구 백양대로700번길 140(인문관 내 / 괘법동,신라대학교) * 점심시간 동시사용 (11:30~12:30)",N
135,신만덕영업소,051-338-0636,부산광역시 북구 덕천로 234번길 5(만덕동) *점심시간 동시사용 (12:00~13:00),N
136,신모라영업소,051-316-0617,부산광역시 사상구 백양대로 923(모라동) *점심시간 동시사용 (12:00~13:00),N
137,신창동지점,051-245-9381,부산광역시 중구 광복중앙로 13(신창동1가),N
138,신평동금융센터,051-205-0771,부산광역시 사하구 장평로 278(신평동),N
139,신평역영업소,051-293-3345,부산광역시 사하구 하신번영로 183(신평동) *점심시간 동시사용 (12:00~13:00),Y
140,아미동영업소,051-253-7771,부산광역시 서구 까치고개로 191(아미동2가) *점심시간 동시사용 (12:00~13:00),N
141,안락1동영업소,051-525-2305,부산광역시 동래구 안락로 67(안락동) *점심시간 동시사용 (12:00~13:00),N
142,안락동지점,051-532-0450,부산광역시 동래구 충렬대로 353(안락동),Y
143,야음동지점,052-276-7930,울산 남구 수암로 230(야음동) 세화프라자 1층,N
144,양산금융센터,055-386-0124,경남 양산시 중앙로 200(북부동),Y
145,양산석산지점,055-385-3922,경상남도 양산시 동면 금오13길 12(석산리),N
146,양정동지점,051-852-0161,부산광역시 부산진구 중앙대로 932(양정동),N
147,언양지점,052-262-2112,울산광역시 울주군 삼남면 중평로 27,N
148,여의도지점,02-783-6191,서울 영등포구 국제금융로2길 24(여의도동),N
149,연미지점,051-863-9121,부산광역시 연제구 연수로 215(연산동),N
150,연산동금융센터,051-865-1601,부산 연제구 중앙대로 1073(연산동),N
151,연서지점,051-863-4536,부산광역시 연제구 세병로 39(연산동),N
152,연안영업소,051-521-3122,부산광역시 동래구 안연로 74(안락동) *점심시간 동시사용 (12:00~13:00),Y
153,연제구청영업소,051-865-3607,부산광역시 연제구 연제로 2(연산동) * 점심시간 동시사용 (12:00~13:00),N
154,연지동지점,051-809-1351,부산광역시 부산진구 새싹로 144(연지동),N
155,연천지점,051-861-3344,부산광역시 연제구 과정로 276(연산동),N
156,영도구청영업소,051-418-4571,부산광역시 영도구 태종로 423(청학동) * 점심시간 동시사용 (12:00~13:00),N
157,영도금융센터,051-416-2421,부산광역시 영도구 절영로 27(대교동2가),N
158,영도동삼동지점,051-415-0063,"부산광역시 영도구 동삼로 56, 한나타워 3층(동삼동)",N
159,영선동영업소,051-414-7231,부산광역시 영도구 영선대로 75(영선동2가),N
160,영주동영업소,051-463-8011,부산 중구 대영로 224(영주동) *점심시간 동시사용 (12:00~13:00),N
161,온천동지점,051-555-1461,부산광역시 동래구 금강공원로 13-1(온천동),N
162,용당지점,051-626-7761,부산광역시 남구 유엔평화로 165(용당동) * 점심시간 동시사용 (12:00~13:00),N
163,용원지점,055-552-6425,"경상남도 창원시 진해구 안골로 338, 드림빌딩 1층(용원동)",N
164,용호동지점,051-623-1691,부산광역시 남구 용호로 141(용호동),Y
165,울산금융센터,052-267-5301,울산 남구 두왕로154번길 13(선암동),N
166,울산중앙지점,052-243-2100,울산 중구 번영로 329(옥교동) (센트럴프라자1층),N
167,울산호계지점,052-285-2121,울산광역시 북구 호계로 328(신천동),N
168,이기대영업소,051-626-8845,부산 남구 용호로 190-1(용호동),N
169,인천지점,032-822-8966,인천광역시 남동구 은청로 9(고잔동) *2023.7.1 인천남동공단지점->인천지점 명칭변경,N
170,일광지점,051-721-0121,"부산 기장군 일광면 해빛로 17(네오 더 퍼스트 상가 202호,203호)",N
171,장림동지점,051-263-5101,부산광역시 사하구 장림번영로 35(장림동),N
172,장유지점,055-313-9802,경상남도 김해시 장유면 계동로 233,N
173,장전동지점,051-512-1011,부산광역시 금정구 금정로 75(장전동),N
174,재송동지점,051-782-1161,부산 해운대구 재반로 107 (재송동)2층,N
175,전포역지점,051-802-1236,부산광역시 부산진구 전포대로 200(전포동),N
176,전포카페거리영업소,051-805-7333,부산광역시 부산진구 동천로 55(부전동),N
177,정관모전영업소,051-728-7678,부산광역시 기장군 정관읍 정관로 395(모전리) * 점심시간 동시사용 (12:00~13:00),N
178,정관지점,051-727-3270,"부산광역시 기장군 정관읍 정관7로 3(매학리,광장아울렛 101호)",N
179,좌동지점,051-701-0053,부산광역시 해운대구 대천로 103번길 29(좌동),N
180,중구청영업소,051-465-3520,부산광역시 중구 중구로 120(대청동1가) *점심시간 동시사용 (12:00~13:00),Y
181,중부지점,051-248-3961,"부산 중구 중앙대로 21 1층(중앙동6가,부산데파트)",N
182,중앙동금융센터,051-469-0181,부산광역시 중구 중앙대로 96(중앙동4가 89-2),N
183,진영지점,055-343-7125,"경남 김해시 진영읍 서부로 15, (워커힐 B/D 1층)",N
184,창원지점,055-263-7661,경상남도 창원시 성산구 중앙대로 89(중앙동) 라큐비오피스텔 2층 205호,N
185,청학동지점,051-416-2425,부산광역시 영도구 태종로 321(청학동),N
186,초량동지점,051-468-3391,부산광역시 동구 중앙대로 251번길 29(초량동),Y
187,초읍동영업소,051-816-5441,부산광역시 부산진구 성지로 52(연지동),N
188,충무동지점,051-242-3571,부산광역시 서구 충무대로 280(충무동1가),N
189,토곡지점,051-758-2562,부산광역시 연제구 과정로 140(연산동),N
190,팔송지점,051-516-8552,부산광역시 금정구 중앙대로 2089(남산동),N
191,평택지점,031-668-7231,경기 평택시 고덕면 고덕중앙로 200- 4우성고덕타워 212호 ~ 214호,N
192,하단동금융센터,051-205-3261,부산광역시 사하구 하신중앙로 348(하단동),N
193,학장동지점,051-328-3051,부산광역시 사상구 대동로 98(학장동),N
194,해운대구청영업소,051-746-3931,부산광역시 해운대구 중동2로 11(중동) *점심시간 동시사용 (12:00~13:00),N
195,해운대금융센터,051-746-1351,부산광역시 해운대구 중동1로 35-1(중동),N
196,해운대우동지점,051-744-5490,부산 해운대구 해운대로 407(우동),N
197,화명동금융센터,051-361-2378,부산광역시 북구 화명신도시로 120(화명동),Y
198,화명수정지점,051-342-5841,부산 북구 학사로 8(화명동) 크리스탈타워 상가,Y
199,화전공단지점,051-971-8899,"부산광역시 강서구 화전산단6로 71, 부산기계공업조합 1층(화전동) *점심시간 동시사용 (13:30 ~14:30)",N
200,W스퀘어지점,051-612-8291,"부산 남구 분포로 145,(W스퀘어 2088호 / 용호동)",N
